"Clase","Familia","G̩nero","Especie","n"
"Aves","Accipitridae","Buteo","polyosoma",8
"Aves","Accipitridae","Parabuteo","unicinctus",23
"Aves","Anatidae","Anas","bahamensis",111
"Aves","Anatidae","Anas","cyanoptera",105
"Aves","Anatidae","Anas","discors",3
"Aves","Anatidae","Anas","flavirostris",16
"Aves","Anatidae","Anas","georgica",1
"Aves","Anatidae","Dendrocygna","viduata",2
"Aves","Anatidae","Oxyura","ferruginea",15
"Aves","Anatidae","Sarkidiornis","melanotos",1
"Aves","Anatidae","Spatula","puna",2
"Aves","Ardeidae","Ardea","alba",71
"Aves","Ardeidae","Ardea","cocoi",2
"Aves","Ardeidae","Bubulcus","ibis",65
"Aves","Ardeidae","Butorides","striata",5
"Aves","Ardeidae","Egretta","caerulea",83
"Aves","Ardeidae","Egretta","thula",140
"Aves","Ardeidae","Ixobrychus","exilis",2
"Aves","Ardeidae","Nycticorax","nycticorax",7
"Aves","Ardeidae","Nycticorax","violaceus",2
"Aves","Burhinidae","Burhinus","superciliaris",38
"Aves","Caprimulgidae","Chordeiles","acutipennis",7
"Aves","Cardinalidae","Saltator","striatipectus",1
"Aves","Cathartidae","Cathartes","aura",33
"Aves","Cathartidae","Coragyps","atratus",64
"Aves","Charadriidae","Charadrius","nivosus",11
"Aves","Charadriidae","Charadrius","semipalmatus",76
"Aves","Charadriidae","Charadrius","vociferus",133
"Aves","Charadriidae","Oreopholus","ruficollis",4
"Aves","Charadriidae","Pluvialis","dominica",19
"Aves","Charadriidae","Pluvialis","squatarola",49
"Aves","Charadriidae","Vanellus","resplendens",6
"Aves","Ciconiidae","Jabiru","mycteria",3
"Aves","Coerebidae","Coereba","flaveola",1
"Aves","Columbidae","Columba","livia",21
"Aves","Columbidae","Columbina","cruziana",49
"Aves","Columbidae","Columbina","minuta",1
"Aves","Columbidae","Zenaida","auriculata",42
"Aves","Columbidae","Zenaida","meloda",105
"Aves","Cuculidae","Crotophaga","sulcirostris",63
"Aves","Emberizidae","Zonotrichia","capensis",12
"Aves","Falconidae","Falco","peregrinus",11
"Aves","Falconidae","Falco","sparverius",49
"Aves","Fringillidae","Leistes","sp.",107
"Aves","Fringillidae","Spinus","magellanicus",6
"Aves","Furnariidae","Cinclodes","taczanowskii",1
"Aves","Furnariidae","Geositta","peruviana",5
"Aves","Furnariidae","Phleocryptes","melanops",6
"Aves","Haematopodidae","Haematopus","ater",6
"Aves","Haematopodidae","Haematopus","palliatus",81
"Aves","Hirundinidae","Hirundo","rustica",25
"Aves","Hirundinidae","Notiochelidon","cyanoleuca",67
"Aves","Hirundinidae","Petrochelidon","pyrrhonota",1
"Aves","Hirundinidae","Petrochelidon","rufocollaris",7
"Aves","Hirundinidae","Progne","murphyi",3
"Aves","Hirundinidae","Progne","tapera",6
"Aves","Hirundinidae","Riparia","riparia",5
"Aves","Hydrobatidae","Oceanites","gracilis",3
"Aves","Hydrobatidae","Oceanodroma","markhami",1
"Aves","Icteridae","Chrysomus","icterocephalus",13
"Aves","Icteridae","Dives","warczewiczi",27
"Aves","Icteridae","Molothrus","bonariensis",17
"Aves","Laridae","Chlidonias","niger",4
"Aves","Laridae","Chroicocephalus","cirrocephalus",76
"Aves","Laridae","Chroicocephalus","serranus",10
"Aves","Laridae","Larosterna","inca",79
"Aves","Laridae","Larus","atricilla",3
"Aves","Laridae","Larus","belcheri",127
"Aves","Laridae","Larus","dominicanus",91
"Aves","Laridae","Leucophaeus","modestus",97
"Aves","Laridae","Leucophaeus","pipixcan",78
"Aves","Laridae","Rynchops","niger",50
"Aves","Laridae","Sterna","hirundinacea",11
"Aves","Laridae","Sterna","hirundo",30
"Aves","Laridae","Sterna","maxima",7
"Aves","Laridae","Sterna","nilotica",1
"Aves","Laridae","Sternula","lorata",15
"Aves","Laridae","Thalasseus","elegans",45
"Aves","Laridae","Thalasseus","sandvicensis",31
"Aves","Mimidae","Mimus","longicaudatus",27
"Aves","Motacillidae","Anthus","peruvianus",21
"Aves","Pandionidae","Pandion","haliaetus",1
"Aves","Passeridae","Passer","domesticus",114
"Aves","Pelecanidae","Pelecanus","thagus",108
"Aves","Pelecanoididae","Pelecanoides","garnotii",1
"Aves","Phalacrocoracidae","Phalacrocorax","bougainvillii",66
"Aves","Phalacrocoracidae","Phalacrocorax","brasilianus",120
"Aves","Phalacrocoracidae","Phalacrocorax","gaimardi",52
"Aves","Phoenicopteridae","Phoenicopterus","chilensis",5
"Aves","Podicipedidae","Podiceps","major",10
"Aves","Podicipedidae","Podiceps","occipitalis",6
"Aves","Podicipedidae","Podilymbus","podiceps",9
"Aves","Podicipedidae","Rollandia","rolland",12
"Aves","Procellariidae","Puffinus","griseus",5
"Aves","Psittacidae","Forpus","coelestis",16
"Aves","Psittacidae","Psittacara","erythrogenys",1
"Aves","Rallidae","Fulica","ardesiaca",30
"Aves","Rallidae","Gallinula","chloropus",70
"Aves","Rallidae","Pardirallus","sanguinolentus",9
"Aves","Recurvirostridae","Himantopus","mexicanus",135
"Aves","Scolopacidae","Actitis","macularius",64
"Aves","Scolopacidae","Arenaria","interpres",95
"Aves","Scolopacidae","Calidris","alba",67
"Aves","Scolopacidae","Calidris","bairdii",24
"Aves","Scolopacidae","Calidris","himantopus",18
"Aves","Scolopacidae","Calidris","mauri",7
"Aves","Scolopacidae","Calidris","melanotos",17
"Aves","Scolopacidae","Calidris","minutilla",60
"Aves","Scolopacidae","Calidris","pusilla",46
"Aves","Scolopacidae","Catoptrophorus","semipalmatus",81
"Aves","Scolopacidae","Limosa","haemastica",1
"Aves","Scolopacidae","Numenius","phaeopus",117
"Aves","Scolopacidae","Phalaropus","fulicarius",4
"Aves","Scolopacidae","Phalaropus","lobatus",7
"Aves","Scolopacidae","Phalaropus","tricolor",58
"Aves","Scolopacidae","Tringa","flavipes",57
"Aves","Scolopacidae","Tringa","melanoleuca",37
"Aves","Spheniscidae","Spheniscus","humboldti",29
"Aves","Stercorariidae","Stercorarius","pomarinus",1
"Aves","Strigidae","Athene","cunicularia",8
"Aves","Sulidae","Sula","nebouxii",10
"Aves","Sulidae","Sula","variegata",113
"Aves","Thinocoridae","Thinocorus","rumicivorus",3
"Aves","Thraupidae","Asemospiza","sp.",1
"Aves","Thraupidae","Piezorina","cinerea",7
"Aves","Thraupidae","Poospiza","hispaniolensis",4
"Aves","Thraupidae","Sicalis","flaveola",3
"Aves","Thraupidae","Sicalis","luteola",58
"Aves","Thraupidae","Sicalis","raimondii",1
"Aves","Thraupidae","Sporophila","peruviana",2
"Aves","Thraupidae","Sporophila","simplex",4
"Aves","Thraupidae","Sporophila","telasco",33
"Aves","Thraupidae","Thraupis","episcopus",2
"Aves","Thraupidae","Volatinia","jacarina",22
"Aves","Threskiornithidae","Plegadis","ridgwayi",101
"Aves","Trochilidae","Amazilia","amazilia",21
"Aves","Trochilidae","Rhodopis","vesper",5
"Aves","Trochilidae","Thaumastura","cora",1
"Aves","Troglodytidae","Troglodytes","aedon",21
"Aves","Tyrannidae","Anairetes","flavirostris",1
"Aves","Tyrannidae","Anairetes","reguloides",3
"Aves","Tyrannidae","Muscigralla","brevicauda",6
"Aves","Tyrannidae","Muscisaxicola","maclovianus",2
"Aves","Tyrannidae","Myiophobus","fasciatus",1
"Aves","Tyrannidae","Pyrocephalus","rubinus",79
"Aves","Tyrannidae","Tachuris","rubrigastra",4
"Aves","Tyrannidae","Tyrannus","melancholicus",14
"Insecta","Chrysomelidae","Calligrapha","Calligrapha",8
"Mammalia","Otariidae","Otaria","flavescens",1
